Key,File,Type,UsedInMainMenu,NoTranslate,KeepLoaded,english
perkExplosivesCraftingRank3Desc,,,,,,"Powderhead"
perkExplosivesCraftingRank4Desc,,,,,,"Army Ordnance Engineer"
perkExplosivesCraftingRank5Desc,,,,,,"Rocketeer"
perkExplosivesCraftingRank1LongDesc,,,,,,"Unlocks: Pipe Bombs and Cooking Pot Mines."
perkExplosivesCraftingRank2LongDesc,,,,,,"Unlocks: Dynamite and Hubcap Mines."
perkExplosivesCraftingRank3LongDesc,,,,,,"Unlocks: Air Filter Mines, Bulk Crafted Gunpowder and Timed Charges."
perkExplosivesCraftingRank4LongDesc,,,,,,"Unlocks: Grenades, Contact Grenades and Rockets."
perkExplosivesCraftingRank5LongDesc,,,,,,"Unlocks: Rocket Launcher."
perkArmorCrafting,,,,,,"Armor Crafting"
perkArmorCraftingName,,,,,,"Armor Crafting"
perkArmorCraftingDesc,,,,,,"Use your expertise in armor to tailor and forge the finest armor in the wasteland."
perkArmorCraftingRank1Desc,,,,,,"Novice"
perkArmorCraftingRank2Desc,,,,,,"Apprentice"
perkArmorCraftingRank3Desc,,,,,,"Journeyman"
perkArmorCraftingRank4Desc,,,,,,"Expert"
perkArmorCraftingRank5Desc,,,,,,"Master"
perkArmorCraftingRank1LongDesc,,,,,,"Craft level 2 armor. \nUnlocks: Light Armors."
perkArmorCraftingRank2LongDesc,,,,,,"Craft level 3 armor. \nUnlocks: Medium Armors."
perkArmorCraftingRank3LongDesc,,,,,,"Craft level 4 armor. \nUnlocks: Heavy Armors."
perkArmorCraftingRank4LongDesc,,,,,,"Craft level 5 armor."
perkArmorCraftingRank5LongDesc,,,,,,"Craft level 6 armor."
perkRangersExplodingBoltsDesc,,,,,,"Archery weapons aim 10% faster."
perkRangersExplodingBoltsLongDesc,,,,,,"Archery weapons aim 10% faster."
perkRangersAPAmmoDesc,,,,,,"Archery weapons fire 10% faster."
perkRangersAPAmmoLongDesc,,,,,,"Archery weapons fire 10% faster."
perkRangersFlamingArrowsLongDesc,,,,,,"Archery weapons reload 10% faster."
perkRangersFlamingArrowsDesc,,,,,,"Archery weapons reload 10% faster."
perkRangersCompleteDesc,,,,,,"Archery weapons deal 20% more headshot damage."
perkRangersCompleteLongDesc,,,,,,"Archery weapons deal 20% more headshot damage."
perkPistolPeteHPAmmoDesc,,,,,,"Ignore 10% of armor at point blank range."
perkPistolPeteHPAmmoLongDesc,,,,,,"Ignore 10% of armor within 3 metres with 9mm weapons."
perkPistolPeteAPAmmoDesc,,,,,,"Deal bleed damage at point blank range."
perkPistolPeteAPAmmoLongDesc,,,,,,"Deal one stack of bleed damage within 3 metres with 9mm weapons."
perkPistolPeteCompleteDesc,,,,,,"9mm weapons deal 20% more headshot damage."
perkPistolPeteCompleteLongDesc,,,,,,"9mm weapons deal 20% more headshot damage."
perkShotgunMessiahBreachingSlugsDesc,,,,,,"Shotguns reload 10% faster."
perkShotgunMessiahBreachingSlugsLongDesc,,,,,,"Shotguns reload 10% faster."
perkShotgunMessiahSlugsDesc,,,,,,"Shotguns ignore 10% more armor."
perkShotgunMessiahSlugsLongDesc,,,,,,"Shotguns ignore 10% more armor."
perkShotgunMessiahCompleteDesc,,,,,,"Shotguns deal 20% more headshot damage."
perkShotgunMessiahCompleteLongDesc,,,,,,"Shotguns deal 20% more headshot damage."
perkSledgeSagaCrippledMoraleDesc,,,,,,"Sledgehammers swing 5% faster."
perkSledgeSagaCrippledMoraleLongDesc,,,,,,"Sledgehammers swing 5% faster."
perkSledgeSagaPulverizingFinishersDesc,,,,,,"Deal 10% more damage to enemies below 30% health."
perkSledgeSagaPulverizingFinishersLongDesc,,,,,,"Deal 10% more damage to enemies below 30% health."
perkSledgeSagaSavageReaperDesc,,,,,,"Headshots give 10% more XP."
perkSledgeSagaSavageReaperLongDesc,,,,,,"Headshots with sledgehammers give you 10% more XP."
perkSledgeSagaArmorCrusherDesc,,,,,,"Sledgehammers ignore 10% more armor."
perkSledgeSagaArmorCrusherLongDesc,,,,,,"Sledgehammers ignore 10% more armor."
perkSledgeSagaCompleteDesc,,,,,,"Sledgehammers deal 20% more headshot damage."
perkSledgeSagaCompleteLongDesc,,,,,,"Sledgehammers deal 20% more headshot damage."
perkSniperAPAmmoDesc,,,,,,"Rifles fire 10% faster."
perkSniperAPAmmoLongDesc,,,,,,"Rifles fire 10% faster."
perkSniperHPAmmoDesc,,,,,,"Rifles ignore 10% more armor."
perkSniperHPAmmoLongDesc,,,,,,"Rifles ignore 10% more armor."
perkSniperCompleteDesc,,,,,,"Rifles deal 20% more headshot damage."
perkSniperCompleteLongDesc,,,,,,"Rifles deal 20% more headshot damage."
perkAutoWeaponsCompleteDesc,,,,,,"Automatic Rifles deal 20% more headshot damage."
perkAutoWeaponsCompleteLongDesc,,,,,,"Automatic Rifles deal 20% more headshot damage."
perkUrbanCombatAdrenalineRushDesc,,,,,,"Gain +3 Carry Weight."
perkUrbanCombatAdrenalineRushLongDesc,,,,,,"Tactical Pouches: Gain +3 Carry Weight."
perkTechJunkie3APAmmoDesc,,,,,,"Stun Batons deal 10% more damage."
perkTechJunkie3APAmmoLongDesc,,,,,,"Stun Batons deal 10% more damage."
perkTechJunkie4ShellsDesc,,,,,,"Stun Batons swing 10% faster."
perkTechJunkie4ShellsLongDesc,,,,,,"Stun Batons swing 10% faster."
perkTechJunkie8CompleteDesc,,,,,,"Stun Batons and Robotic Weapons deal 20% more headshot damage."
perkTechJunkie8CompleteLongDesc,,,,,,"Stun Batons and Robotic Weapons deal 20% more headshot damage."
perkBarBrawling8CompleteDesc,,,,,,"Knuckle weapons deal 20% more headshot damage."
perkBarBrawling8CompleteLongDesc,,,,,,"Knuckle weapons deal 20% more headshot damage."
perkSpearHunter8CompleteDesc,,,,,,"Spears deal 20% more headshot damage."
perkSpearHunter8CompleteLongDesc,,,,,,"Spears deal 20% more headshot damage."
perkBatterUpCompleteDesc,,,,,,"Clubs deal 20% more headshot damage."
perkBatterUpCompleteLongDesc,,,,,,"Clubs deal 20% more headshot damage."
perkEnforcerHPAmmoDesc,,,,,,".44 Weapons reload 10% faster."
perkEnforcerHPAmmoLongDesc,,,,,,".44 Weapons reload 10% faster."
perkEnforcerAPAmmoDesc,,,,,,".44 Weapons fire 15% faster."
perkEnforcerAPAmmoLongDesc,,,,,,".44 Weapons fire 15% faster."
perkEnforcerCompleteDesc,,,,,,".44 Weapons deal 20% more headshot damage."
perkEnforcerCompleteLongDesc,,,,,,".44 Weapons deal 20% more headshot damage."
perkNightStalkerThiefAdrenalineDesc,,,,,,"Gain +6 carry weight at night."
perkNightStalkerThiefAdrenalineLongDesc,,,,,,"Gain +6 carry weight at night."
armorSkillMagazineDesc,,,,,,"Check out all the latest armor designs for the modern warrior. \nImproves Armor Skill."
athleticsSkillMagazineDesc,,,,,,"Keep up to date with the latest developments in athletics. \nImproved Athletics Skill."
athleticsSkillMagazine,,,,,,"Health Nut"
athleticsSkillMagazineName,,,,,,"Health Nut"
clubsSkillMagazineDesc,,,,,,"Check out all the latest clubs and bats for sports, home defense and gang wars. \nImproves Blunt Skill."
bowsSkillMagazineDesc,,,,,,"Master archery using the Bow Hunters Magazine! \nImproves Archery Skill."
workstationSkillMagazineDesc,,,,,,"Learn to outfit your shop with forges, workbenches, cement mixers and more! \nImproves Engineering Skill."
handgunsSkillMagazineDesc,,,,,,"The sensible citizen reads this magazine about sensible defensive handguns. \nImproves Pistols Skill."
repairToolsSkillMagazineDesc,,,,,,"From the home repair enthusiast to the professional repairman, we've got you covered! \nImproves Engineering Skill."
foodSkillMagazineDesc,,,,,,"Learn to cook dozens of amazing meals and become a Master Chef! \nImproves Survivalism Skill."
bladesSkillMagazineDesc,,,,,,"Be a real knife guy! Get the best info on all your bladed weapon needs. \nImproves Blade Skill."
medicalSkillMagazineDesc,,,,,,"Learn life saving skills! Make bandages and medical supplies from common household items. \nImproves Science Skill."
riflesSkillMagazineDesc,,,,,,"Check out vintage and modern hunting rifles in this amazing issue of Rifle World \nImproves Rifles Skill."
scavengingSkillMagazineDesc,,,,,,"Watch out for all the best deals around the country with Super Shopper magazine. \nImproves Scavenging Skill."
scavengingSkillMagazine,,,,,,"Super Shopper"
scavengingSkillMagazineName,,,,,,"Super Shopper"
salvageToolsSkillMagazineDesc,,,,,,"One man's junk is another man's treasure! \nImproves Salvaging Skill."
spearsSkillMagazineDesc,,,,,,"If you like poking holes in things, Sharp Sticks has you covered! \nImproves Piercing Skill."
shotgunsSkillMagazineDesc,,,,,,"Whether it's single shot, double barrel, pump action or automatic shotguns, we have you covered! \nImproves Shotguns Skill."
seedSkillMagazineDesc,,,,,,"Keep up with all the latest developments in farming with Southern Farming Magazine! \nImproves Survivalism Skill."
machineGunsSkillMagazineDesc,,,,,,"Check out the latest assault rifles on the market with Tactical Warfare! \nImproves Automatic Rifles Skill."
speechSkillMagazine,,,,,,"Business Secrets"
speechSkillMagazineName,,,,,,"Business Secrets"
speechSkillMagazineDesc,,,,,,"Follow the latest developments in the business world. \nImproves Speech Skill."
harvestingToolsSkillMagazineDesc,,,,,,"Learn to craft the best tools! \nImproves Mining Skill."
electricianSkillMagazineDesc,,,,,,"Let there be light! Learn all about electricity with Wiring 101. \nImproves Science Skill."
vehicleTruck4x4ChassisSchematic,,,,,,"4x4 Truck Chassis"
vehicleTruck4x4ChassisSchematicName,,,,,,"4x4 Truck Chassis"
vehicleTruck4x4AccessoriesSchematic,,,,,,"4x4 Truck Accessories"
vehicleTruck4x4AccessoriesSchematicName,,,,,,"4x4 Truck Accessories"
perkLivingOffTheLandDesc,,,,,,"Specialise in harvesting more crops."
armorNerdOutfitDesc,,,,,,"Heavy Armor\nThe durable steel cage adds much needed protection from the outside world. Gives extra maximum health.\n\nFull Set Bonus: Tools and Weapons degrade slower."
armorNomadHelmetDesc,,,,,,"Heavy Armor\nGuarded against the dangerous diseases of the wasteland, this headgear enables the Nomad to wander further. Reduces infection chance.\n\nFull Set Bonus: Reduces stamina recovery costs."
modArmorPerceptionDesc,,,,,,"+10% Lootstage"
modArmorStrengthDesc,,,,,,"+5% Melee Damage"
modArmorFortitudeDesc,,,,,,"+10 Max Health"
modArmorAgilityDesc,,,,,,"+10 Max Stamina"
modArmorIntellectDesc,,,,,,"+5% XP Gained"
meleeToolAxeT2SteelAxeSchematic,,,,,,"Steel Axe Schematic"
meleeToolPickT2SteelPickaxeSchematic,,,,,,"Steel Pickaxe Schematic"
meleeToolShovelT2SteelShovelSchematic,,,,,,"Steel Shovel Schematic"
cntDewCollectorSchematic,,,,,,"Dew Collector Schematic"
ammoArrowSteelAPSchematic,,,,,,"Steel Arrow Schematic"
ammoArrowFlamingSchematic,,,,,,"Flaming Arrow Schematic"
ammoArrowExplodingSchematic,,,,,,"Exploding Arrow Schematic"
ammoCrossbowBoltSteelAPSchematic,,,,,,"Steel Crossbow Bolt Schematic"
ammoCrossbowBoltFlamingSchematic,,,,,,"Flaming Crossbow Bolt Schematic"
ammoCrossbowBoltExplodingSchematic,,,,,,"Exploding Crossbow Bolt Schematic"
ammoRocketSchematic,,,,,,"Rocket Schematic"
ammoJunkTurretRegularSchematic,,,,,,"Robotic Turret Ammo Schematic"
ammoJunkTurretShellSchematic,,,,,,"Robotic Turret Shell Schematic"
ammoJunkTurretAPSchematic,,,,,,"AP Robotic Turret Ammo Schematic"
ammo9mmBulletBallSchematic,,,,,,"9mm Bullet Schematic"
ammo9mmBulletHPSchematic,,,,,,"HP 9mm Bullet Schematic"
ammo9mmBulletAPSchematic,,,,,,"AP 9mm Bullet Schematic"
ammo44MagnumBulletBallSchematic,,,,,,".44 Magnum Bullet Schematic"
ammo44MagnumBulletHPSchematic,,,,,,"HP .44 Magnum Bullet Schematic"
ammo44MagnumBulletAPSchematic,,,,,,"AP .44 Magnum Bullet Schematic"
ammo762mmBulletBallSchematic,,,,,,"7.62mm Bullet Schematic"
ammo762mmBulletHPSchematic,,,,,,"HP 7.62mm Bullet Schematic"
ammo762mmBulletAPSchematic,,,,,,"AP 7.62mm Bullet Schematic"
ammoShotgunShellSchematic,,,,,,"Shotgun Shell Schematic"
ammoShotgunSlugSchematic,,,,,,"AP Slug Schematic"
ammoShotgunBreachingSlugSchematic,,,,,,"Breaching Slug Schematic"
mineCookingPotSchematic,,,,,,"Cooking Pot Mine Schematic"
mineHubcapSchematic,,,,,,"Hubcap Mine Schematic"
mineAirFilterSchematic,,,,,,"Air Filter Mine Schematic"
perkMotherLodeRank1LongDesc,,,,,,"Harvest 10% more resources with mining tools."
perkMotherLodeRank2LongDesc,,,,,,"Harvest 20% more resources with mining tools."
perkMotherLodeRank3LongDesc,,,,,,"Harvest 30% more resources with mining tools."
perkMotherLodeRank4LongDesc,,,,,,"Harvest 40% more resources with mining tools."
perkMotherLodeRank5LongDesc,,,,,,"Harvest 50% more resources with mining tools."
questRewardT1SkillMagazineBundle,,,,,,"Random Skill Magazine"
questRewardMagazineBundleDesc,,,,,,"Get a random skill magazine to level your action skills."
perkApiaryCrafting,,,,,,"Apiculture"
perkApiaryCraftingName,,,,,,"Apiculture"
perkApiaryCraftingDesc,,,,,,"Combine your understanding of nature and engineering to manage hives of bees to generate honey passively"
perkApiaryCraftingRank1Desc,,,,,,"Apiary Builder"
perkApiaryCraftingRank2Desc,,,,,,"Bee Whisperer"
perkApiaryCraftingRank3Desc,,,,,,"Honey Baron"
perkApiaryCraftingRank4Desc,,,,,,"Brood Mother"
perkApiaryCraftingRank1LongDesc,,,,,,"Craft Apiaries to generate honey. Be careful of aggrivating the bees."
perkApiaryCraftingRank2LongDesc,,,,,,"Craft Bee Smoker modules for your Apiaries to prevent bee aggrivation."
perkApiaryCraftingRank3LongDesc,,,,,,"Craft Honey Extractors to get honey more frequently. "
perkApiaryCraftingRank4LongDesc,,,,,,"Craft Brood Boxes to generate more honey per harvest."
foodHoneyBrisketSchematic,,,,,,"Honey Brisket Recipe"
foodHoneyGlazedShamSchematic,,,,,,"Honey Glazed Sham Recipe"
drinkJarHoneyTeaSchematic,,,,,,"Honey Tea Recipe"
cntApiarySchematic,,,,,,"Apiary Schematic"
foodHoneyBrisketSchematicName,,,,,,"Honey Brisket Recipe"
foodHoneyGlazedShamSchematicName,,,,,,"Honey Glazed Sham Recipe"
drinkJarHoneyTeaSchematicName,,,,,,"Honey Tea Recipe"
cntApiarySchematicName,,,,,,"Apiary Schematic"
